scope,sheet,row_number,machine_code,product_text,agiz_mm,gramaj_gr,raw_F,raw_G,raw_J,raw_K,raw_L,numeric_J,numeric_K,numeric_L,parse_status
fallback_latest_370_rows_largest_sheet,ESKİ,1113,182,400 CC Z101 26 ŞEFFAF ŞEFFAF PALET STANDART,,,182,400 CC Z101 26 ŞEFFAF ŞEFFAF PALET STANDART,4,4,14.21,4,4,14.21,missing_agiz_mm_gramaj_gr
fallback_latest_370_rows_largest_sheet,ESKİ,1114,401,700 CC S008 90 ŞEFFAF ŞEFFAF PLS. PLT STANDART,,,401,700 CC S008 90 ŞEFFAF ŞEFFAF PLS. PLT STANDART,1,1,10.7,1,1,10.7,missing_agiz_mm_gramaj_gr
fallback_latest_370_rows_largest_sheet,ESKİ,1115,404,300 CC S053 24 ŞEFFAF ŞEFFAF PLS. PLT STANDART,,,404,300 CC S053 24 ŞEFFAF ŞEFFAF PLS. PLT STANDART,2,2,7.4,2,2,7.4,missing_agiz_mm_gramaj_gr
fallback_latest_370_rows_largest_sheet,ESKİ,1116,405,350 CC S012 46 OPAK SİYAH PALET STANDART,,,405,350 CC S012 46 OPAK SİYAH PALET STANDART,2,2,8,2,2,8,missing_agiz_mm_gramaj_gr
fallback_latest_370_rows_largest_sheet,ESKİ,1117,171,500 CC D088 45 ŞEFFAF ŞEFFAF PLS. PLT STANDART,,,171,500 CC D088 45 ŞEFFAF ŞEFFAF PLS. PLT STANDART,3,3,13.65,3,3,13.65,missing_agiz_mm_gramaj_gr
fallback_latest_370_rows_largest_sheet,ESKİ,1118,172,1000 CC D125 52 ŞEFFAF ŞEFFAF PALET STANDART,,,172,1000 CC D125 52 ŞEFFAF ŞEFFAF PALET STANDART,4,4,17.94,4,4,17.94,missing_agiz_mm_gramaj_gr
fallback_latest_370_rows_largest_sheet,ESKİ,1119,175,750 CC D072 35 ŞEFFAF ŞEFFAF PALET STANDART,,,175,750 CC D072 35 ŞEFFAF ŞEFFAF PALET STANDART,5,5,14.12,5,5,14.12,missing_agiz_mm_gramaj_gr
fallback_latest_370_rows_largest_sheet,ESKİ,1120,176,1000 CC D107 52 OPAK BEYAZ PALET STANDART,,,176,1000 CC D107 52 OPAK BEYAZ PALET STANDART,5,5,19.36,5,5,19.36,missing_agiz_mm_gramaj_gr
fallback_latest_370_rows_largest_sheet,ESKİ,1121,177,900 CC D066 45 ŞEFFAF SARI PLS. PLT STANDART,,,177,900 CC D066 45 ŞEFFAF SARI PLS. PLT STANDART,4,4,15,4,4,15,missing_agiz_mm_gramaj_gr
fallback_latest_370_rows_largest_sheet,ESKİ,1122,131,100 CC Y274 25 ŞEFFAF TURUNCU PLT.IC.KOLI STANDART,,,131,100 CC Y274 25 ŞEFFAF TURUNCU PLT.IC.KOLI STANDART,3,3,17.62,3,3,17.62,missing_agiz_mm_gramaj_gr
