scope,sheet,row_number,machine_code,product_text,agiz_mm,gramaj_gr,raw_F,raw_G,raw_J,raw_K,raw_L,numeric_J,numeric_K,numeric_L,parse_status
schema_match_best_sheet,PROSES ENJEKSİYON,1,Makine Adı,Ürün Adı,,,Makine Adı,Ürün Adı,Toplam Göz Sayısı (ad),Çalışan Göz Sayısı (ad),Çevrim Süresi (sn),,,,missing_agiz_mm_gramaj_gr
schema_match_best_sheet,PROSES ENJEKSİYON,2,103,PET0005-01 700ML SEFFAF SARI 28MM YIVLI 40GR,28,40,103,PET0005-01 700ML SEFFAF SARI 28MM YIVLI 40GR,5,5,15.65,5,5,15.65,ok
schema_match_best_sheet,PROSES ENJEKSİYON,3,104,PET0007-08 400ML OPAK YESIL 28MM YIVLI 25GR,28,25,104,PET0007-08 400ML OPAK YESIL 28MM YIVLI 25GR,6,5,15.73,6,5,15.73,ok
schema_match_best_sheet,PROSES ENJEKSİYON,4,161,PET0181-02 960ML OPAK SARI 38MM YIVLI 47GR,38,47,161,PET0181-02 960ML OPAK SARI 38MM YIVLI 47GR,6,6,22.51,6,6,22.51,ok
schema_match_best_sheet,PROSES ENJEKSİYON,5,162,PET0014-01 1000ML SEFFAF SEFFAF 28MM YIVLI 52GR,28,52,162,PET0014-01 1000ML SEFFAF SEFFAF 28MM YIVLI 52GR,6,6,24,6,6,24,ok
schema_match_best_sheet,PROSES ENJEKSİYON,6,164,PET0250-01 1000ML SEFFAF SEFFAF 28MM YIVLI 45GR,28,45,164,PET0250-01 1000ML SEFFAF SEFFAF 28MM YIVLI 45GR,6,6,21.59,6,6,21.59,ok
schema_match_best_sheet,PROSES ENJEKSİYON,7,141,PET0156-01 4000ML SEFFAF SEFFAF 45MM YIVLI 85GR,45,85,141,PET0156-01 4000ML SEFFAF SEFFAF 45MM YIVLI 85GR,4,4,28,4,4,28,ok
schema_match_best_sheet,PROSES ENJEKSİYON,8,172,PET0202-01 900ML SEFFAF SARI 28MM YIVLI 45GR,28,45,172,PET0202-01 900ML SEFFAF SARI 28MM YIVLI 45GR,4,4,15.85,4,4,15.85,ok
schema_match_best_sheet,PROSES ENJEKSİYON,9,173,PET0210-02 500ML SEFFAF TURKUAZ 28MM YIVLI 40GR,28,40,173,PET0210-02 500ML SEFFAF TURKUAZ 28MM YIVLI 40GR,5,5,19.23,5,5,19.23,ok
schema_match_best_sheet,PROSES ENJEKSİYON,10,175,PET0238-01 450ML SEFFAF UV 28MM CAKMA 35GR,28,35,175,PET0238-01 450ML SEFFAF UV 28MM CAKMA 35GR,5,5,14.94,5,5,14.94,ok
