scope,sheet,row_number,machine_code,agiz_mm,gramaj_gr,source_column,cycle_value,included_in_group_stats,parse_status,product_text
schema_match_best_sheet,PROSES ENJEKSİYON,2,103,28,40,J,5,yes,ok,PET0005-01 700ML SEFFAF SARI 28MM YIVLI 40GR
schema_match_best_sheet,PROSES ENJEKSİYON,2,103,28,40,K,5,yes,ok,PET0005-01 700ML SEFFAF SARI 28MM YIVLI 40GR
schema_match_best_sheet,PROSES ENJEKSİYON,2,103,28,40,L,15.65,yes,ok,PET0005-01 700ML SEFFAF SARI 28MM YIVLI 40GR
schema_match_best_sheet,PROSES ENJEKSİYON,3,104,28,25,J,6,yes,ok,PET0007-08 400ML OPAK YESIL 28MM YIVLI 25GR
schema_match_best_sheet,PROSES ENJEKSİYON,3,104,28,25,K,5,yes,ok,PET0007-08 400ML OPAK YESIL 28MM YIVLI 25GR
schema_match_best_sheet,PROSES ENJEKSİYON,3,104,28,25,L,15.73,yes,ok,PET0007-08 400ML OPAK YESIL 28MM YIVLI 25GR
schema_match_best_sheet,PROSES ENJEKSİYON,4,161,38,47,J,6,yes,ok,PET0181-02 960ML OPAK SARI 38MM YIVLI 47GR
schema_match_best_sheet,PROSES ENJEKSİYON,4,161,38,47,K,6,yes,ok,PET0181-02 960ML OPAK SARI 38MM YIVLI 47GR
schema_match_best_sheet,PROSES ENJEKSİYON,4,161,38,47,L,22.51,yes,ok,PET0181-02 960ML OPAK SARI 38MM YIVLI 47GR
schema_match_best_sheet,PROSES ENJEKSİYON,5,162,28,52,J,6,yes,ok,PET0014-01 1000ML SEFFAF SEFFAF 28MM YIVLI 52GR
schema_match_best_sheet,PROSES ENJEKSİYON,5,162,28,52,K,6,yes,ok,PET0014-01 1000ML SEFFAF SEFFAF 28MM YIVLI 52GR
schema_match_best_sheet,PROSES ENJEKSİYON,5,162,28,52,L,24,yes,ok,PET0014-01 1000ML SEFFAF SEFFAF 28MM YIVLI 52GR
schema_match_best_sheet,PROSES ENJEKSİYON,6,164,28,45,J,6,yes,ok,PET0250-01 1000ML SEFFAF SEFFAF 28MM YIVLI 45GR
schema_match_best_sheet,PROSES ENJEKSİYON,6,164,28,45,K,6,yes,ok,PET0250-01 1000ML SEFFAF SEFFAF 28MM YIVLI 45GR
schema_match_best_sheet,PROSES ENJEKSİYON,6,164,28,45,L,21.59,yes,ok,PET0250-01 1000ML SEFFAF SEFFAF 28MM YIVLI 45GR
schema_match_best_sheet,PROSES ENJEKSİYON,7,141,45,85,J,4,yes,ok,PET0156-01 4000ML SEFFAF SEFFAF 45MM YIVLI 85GR
schema_match_best_sheet,PROSES ENJEKSİYON,7,141,45,85,K,4,yes,ok,PET0156-01 4000ML SEFFAF SEFFAF 45MM YIVLI 85GR
schema_match_best_sheet,PROSES ENJEKSİYON,7,141,45,85,L,28,yes,ok,PET0156-01 4000ML SEFFAF SEFFAF 45MM YIVLI 85GR
schema_match_best_sheet,PROSES ENJEKSİYON,8,172,28,45,J,4,yes,ok,PET0202-01 900ML SEFFAF SARI 28MM YIVLI 45GR
schema_match_best_sheet,PROSES ENJEKSİYON,8,172,28,45,K,4,yes,ok,PET0202-01 900ML SEFFAF SARI 28MM YIVLI 45GR
schema_match_best_sheet,PROSES ENJEKSİYON,8,172,28,45,L,15.85,yes,ok,PET0202-01 900ML SEFFAF SARI 28MM YIVLI 45GR
schema_match_best_sheet,PROSES ENJEKSİYON,9,173,28,40,J,5,yes,ok,PET0210-02 500ML SEFFAF TURKUAZ 28MM YIVLI 40GR
schema_match_best_sheet,PROSES ENJEKSİYON,9,173,28,40,K,5,yes,ok,PET0210-02 500ML SEFFAF TURKUAZ 28MM YIVLI 40GR
